event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX wants for christmas,"[""none"", ""none"", ""none""]","[""generous""]","[""none"", ""buy the item"", ""tell them what they want also""]","[""hopeful"", ""determined"", ""impatient"", ""cheerful"", ""excited"", ""anxious""]","[""anticipates gifts"", ""gets hopes up"", ""writes a list"", ""drops hints"", ""none""]","[""a gift""]","[""to ask the right people"", ""to write a letter to Santa Claus"", ""to make a list"", ""make a list of wants"", ""narrow down list to main want""]","[""grateful""]","[""to hope and pray they will get it"", ""to go and buy what they want"", ""send a picture of want to someone"", ""tell someone of want""]","[""wants"", ""christmas""]",trn
PersonX wants ice cream,"[""none"", ""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""hungry"", ""hot"", ""covetous"", ""hungry""]","[""gets receipt"", ""gets change"", ""none"", ""goes to dairy queen"", ""goes to the freezer""]","[""to satisfy his craving for ice cream""]","[""none"", ""to take a car"", ""to buy one"", ""To go to the store"", ""To pick a flavor""]","[""unsatisfied""]","[""go get ice cream"", ""eat ice cream"", ""throw the cover away"", ""to eat it"", ""To satisfy a craving"", ""To have dessert""]","[""wants"", ""ice""]",tst
PersonX wants kids,"[""They listen to what person x has to say and makes a decision for or against."", ""They separate from person x as they do not want a family"", ""They imagine their lives with children."", ""They talk over the topic with family."", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""to raise the kid"", ""to educate the kid""]","[""responsible"", ""mature"", ""considerate"", ""curious"", ""longing"", ""maternal""]","[""They plan to start a family"", ""They discuss their family planning with their spouse or significant other"", ""They start saving for a family"", ""They imagine life with a child."", ""They adopt"", ""They get pregnant"", ""get married"", ""gets pregnant""]","[""to be loved"", ""kids""]","[""none"", ""to find a mate"", ""to have enough money""]","[""ready to reproduce"", ""excited"", ""wanting""]","[""to be around them"", ""to start their own family"", ""to raise the kid"", ""to educate the kid""]","[""wants"", ""kids""]",trn
PersonX wants money,"[""none"", ""none"", ""none""]","[""annoyed."", ""none"", ""none""]","[""none"", ""none"", ""none"", ""none""]","[""poor"", ""destitute"", ""Ambitious"", ""persistent"", ""greedy"", ""ambitious""]","[""earns money"", ""recieves money from someone"", ""gets a job"", ""gets money"", ""goes broke"", ""worries about money"", ""contemplates how to get money""]","[""to be a beggar."", ""to pay their bills"", ""to be rich""]","[""none"", ""gets a job"", ""works"", ""to find a job"", ""get paid for her work"", ""perform a service"", ""provide some help""]","[""entitled."", ""broke"", ""greedy""]","[""to get a job"", ""sell things"", ""pays bills"", ""gets his own apartment"", ""to feerl a sense of accomplishment"", ""to spend her wages"", ""spend the money"", ""save the money""]","[""wants"", ""money""]",tst
PersonX wants more than anything,"[""none"", ""none"", ""none""]","[""none""]","[""none"", ""none"", ""none"", ""none"", ""none""]","[""interested"", ""envy"", ""diligent"", ""obsessed""]","[""none"", ""GIVE IDEAS"", ""HAVE SOME PERFORMANCE"", ""NONE"", ""NONE"", ""none""]","[""to go to paris.""]","[""study art"", ""apply for art school"", ""none"", ""to have something they want"", ""for it to be really important to them"", ""to like something"", ""to constantly think about it""]","[""happy.""]","[""become an artist"", ""paint for a living"", ""to get that thing"", ""to get a new hope"", ""to get one"", ""to enjoy it"", ""to buy something"", ""to accumulate things"", ""to achieve something"", ""to get something""]","[""wants"", ""anything""]",trn
PersonX wants new shoes,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""hopeful"", ""wanton"", ""a dreamer"", ""needful"", ""materialistic"", ""stylish""]","[""Saves money for the new shoes"", ""Goes to a shoe store and buy the shoes"", ""compares shoes online"", ""goes to a store"", ""Goes shopping"", ""Tries on shoes""]","[""none"", ""to be fashionable"", ""to feel comfort in feet"", ""to have new shoes on special occasions""]","[""none"", ""none"", ""have old shoes"", ""run too much""]","[""needy"", ""envious"", ""unsatisfied"", ""comfort""]","[""to go shopping"", ""to get money from the ATM"", ""to search online for new shoes"", ""to go to a shoe store"", ""visit store"", ""purchase new shoes""]","[""wants"", ""new""]",trn
PersonX wants nothing,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""to ask what PersonX needs"", ""to accept PersonX's things"", ""none""]","[""negative"", ""depressive"", ""desireless"", ""disinterested"", ""content"", ""simple""]","[""gets nothing"", ""no effect"", ""none"", ""gets reputation as a simple person"", ""becomes content with little""]","[""none"", ""to be left alone"", ""to not come over as materialistic""]","[""none"", ""none""]","[""satisfied"", ""in peace"", ""satisfied""]","[""to not get anything"", ""to give away what they have"", ""to be content with what they have"", ""to relax""]","[""wants"", ""nothing""]",trn
PersonX wants nothing more,"[""none"", ""none"", ""none""]","[""none"", ""irritated""]","[""none"", ""none"", ""none""]","[""Longing"", ""In need"", ""content"", ""grateful"", ""satisfied"", ""fulfilled""]","[""is satisfied"", ""sleeps in peace"", ""none"", ""becomes satisfied"", ""becomes fulfilled"", ""becomes complete""]","[""none"", ""to be finished with it""]","[""none"", ""to reach his limit"", ""to decide he's complete"", ""to be mad about something"", ""to know something""]","[""desire"", ""hopeful"", ""overwhelmed""]","[""everyone else to be happy."", ""to not have more things."", ""nothing further to happen"", ""to acquire no more items/objects/info"", ""to cry"", ""to run away""]","[""wants"", ""nothing""]",trn
PersonX wants nothing to do with PersonY,"[""none"", ""gets offended"", ""sees X years later""]","[""upset"", ""sad"", ""rejected."", ""guilty.""]","[""to wonder what PersonX is thinking"", ""to know why PersonX is avoiding them"", ""to apolgize to PersonX"", ""to tell PersonX to go to hell"", ""none""]","[""uncooperative"", ""unwilling"", ""stubborn"", ""obstructive"", ""dramatic"", ""touchy"", ""unfriendly"", ""decisive"", ""unfriendly""]","[""none"", ""loses a friend"", ""sees Y cry""]","[""to be mean"", ""to show no concern"", ""to stay away from the other person.""]","[""none"", ""to have gotten into trouble because of PersonY"", ""to see that PersonY is embarrasing them"", ""work"", ""love""]","[""accomplished"", ""angry.""]","[""to avoid PersonY"", ""to hide from PersonY"", ""to keep away from PersonY"", ""to tell people that they don't want to help about PersonYy"", ""to stop caring about PersonY"", ""not good relationship"", ""not friendly""]","[""wants"", ""nothing""]",trn
PersonX wants one too,"[""none"", ""none"", ""they talk about it with them"", ""they write a review""]","[""none"", ""none""]","[""they like it as well"", ""they get one too"", ""none"", ""none""]","[""willful"", ""curious"", ""determind"", ""ambitious"", ""imitator"", ""eager"", ""longing""]","[""none"", ""he is given an ice cream"", ""he is told to get a job"", ""he finds one online"", ""he buys one""]","[""to wear it for a party"", ""to be satisfied"", ""to be fulfilled""]","[""to see someone else with one"", ""to decide they like it"", ""none"", ""to learn about something"", ""to make a decision""]","[""anxious if he could get it"", ""thankful""]","[""to look it up online"", ""to go out and get one"", ""to get one"", ""to eat"", ""to purchase something"", ""to forget about the item""]","[""wants"", ""one""]",trn
PersonX wants people,"[""none"", ""none"", ""They become friends"", ""They work together""]","[""none""]","[""none"", ""to socialize with PersonX"", ""to ignore PersonX""]","[""gregarious"", ""dependent"", ""social"", ""gregarious"", ""needy"", ""deperate""]","[""none"", ""none"", ""none""]","[""to have friends""]","[""to call people"", ""to be friendly with people"", ""to let people know about them"", ""to think of an idea"", ""to observe people""]","[""hopeful""]","[""to tell people to vote for them"", ""to make people dance"", ""to have a party"", ""to make people do something"", ""to gather people""]","[""wants"", ""people""]",trn
PersonX wants pizza,"[""none"", ""none""]","[""none"", ""none""]","[""none""]","[""hungry"", ""ravenous"", ""Munchy"", ""Buzzed"", ""lax"", ""laid back""]","[""none"", ""thinks about what kind"", ""decides to make it themself""]","[""because they are hungry"", ""to eat""]","[""to feel hungry"", ""to decide what to eat.""]","[""satisfied"", ""full""]","[""to order pizza"", ""to go pick up a pizza.""]","[""wants"", ""pizza""]",trn
PersonX wants so badly,"[""none""]","[""none""]","[""none"", ""none""]","[""Desiring"", ""Hoping"", ""yearning"", ""empty"", ""needy"", ""greedy""]","[""buys something"", ""looks for prices""]","[""to get something""]","[""none"", ""to gather information"", ""to decide on something""]","[""determined""]","[""to take it"", ""to buy it"", ""to make a move"", ""to go pursue something else""]","[""wants"", ""badly""]",tst
PersonX wants some coffee,"[""none"", ""Sells X coffee"", ""Gets tea instead""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""sluggish"", ""tired"", ""tired"", ""dragging"", ""thirsty"", ""happy""]","[""receives their order from the cafe"", ""spills hot coffee on themself"", ""Goes to Starbucks"", ""Brews some coffee""]","[""none"", ""to stay alert"", ""a caffeine boost""]","[""none"", ""buy coffee"", ""brew coffee"", ""none""]","[""anxious to get it"", ""thankful"", ""alert"", ""energized""]","[""to feel energized"", ""to have energy"", ""dispose of the cup"", ""pour another cup"", ""Try not to burn his mouth."", ""Pour more in it.""]","[""wants"", ""coffee""]",trn
PersonX wants some ice cream,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""to go to the dairy queen"", ""to pick out the flavors"", ""none"", ""none""]","[""hungry"", ""in need"", ""hungry"", ""indulgent""]","[""none"", ""salivates"", ""sweats"", ""licks lips"", ""PersonX's mouth waters"", ""PersonX thinks about icecream""]","[""hungry"", ""to eat it"", ""a snack"", ""something cold""]","[""none"", ""none"", ""to have a craving"", ""to think about ice cream""]","[""satisfied"", ""they satisfied their craving"", ""full""]","[""to go to the dairy queen"", ""to pick out the flavors"", ""to scoop some into a bowl"", ""to eat some"", ""to go to the store"", ""to buy ice cream""]","[""wants"", ""ice""]",tst
PersonX wants someone,"[""none""]","[""none"", ""none""]","[""impress someone"", ""create friendship with someone"", ""none""]","[""emotional"", ""lonely"", ""bored"", ""frightened"", ""needy"", ""insecure"", ""alone"", ""loving""]","[""Creates account on dating site"", ""Joins a travel group""]","[""to stop being single."", ""none""]","[""to find a person"", ""to go to a social event"", ""none""]","[""lonely."", ""lonely"", ""hopeful""]","[""to go to dinner with someone"", ""to go to a party with someone"", ""to open their dating app"", ""to swipe on the potential options""]","[""wants"", ""someone""]",dev
PersonX wants something,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""needy"", ""inquisitive"", ""curious"", ""Needy"", ""Wanting""]","[""gets help"", ""gets that thing"", ""thinks about what they want"", ""furrows brow in concentration"", ""wants to buy one"", ""thinks about how to earn the money""]","[""none"", ""to wear it.""]","[""none"", ""to go to the store"", ""to go to the neighbors"", ""none""]","[""desirous"", ""happy.""]","[""to go to the store"", ""to ask a family member to buy something on the way home"", ""to ask for it directly"", ""to buy it for cash"", ""enjoy what they got"", ""keep looking for more""]","[""wants"", ""something""]",trn
PersonX wants something different,"[""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""bored"", ""adventurous"", ""bored"", ""disinterested"", ""bored"", ""complacent""]","[""they look at things they normally don't look at"", ""they take risks""]","[""none"", ""because what they choose was bad"", ""none""]","[""none"", ""do something"", ""get bored""]","[""bored"", ""needy"", ""relief"", ""embarresed"", ""confused""]","[""to look at their options"", ""to make a decision"", ""change something"", ""try something new""]","[""wants"", ""something""]",trn
PersonX wants something new,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""bored"", ""tired"", ""desirous"", ""impatient""]","[""none"", ""to give gift"", ""buy items in store"", ""placed in house""]","[""to get rid of old"", ""to not be bored"", ""to be excited"", ""to be entertained"", ""to be accepted"", ""to gain experience""]","[""none"", ""to become bored of something"", ""to think of something new"", ""to grow discontented"", ""to look at new items""]","[""happy"", ""intersted"", ""excited"", ""smarter"", ""more informed"", ""accepted""]","[""to go to the mall"", ""to order something online"", ""to buy something new"", ""to save up money"", ""to acquire what they want"", ""to enjoy a new acquisition""]","[""wants"", ""something""]",trn
